Слово,Орфоэпическая транскрипция,Слово с ударением
сочувствием,~ s a1 * ch u0 + s t v' + i4 j / i4 m,сочу0вствием
сошел,~ s a1 * sh o0 + l,соше0л
сошелся,~ s a1 * sh o0 + l ^ s' a4,соше0лся
сошлось,~ s a1 * sh + l + o0 ^ s',сошло0сь
союзах,* s a1 j u0 z / a4 h,сою0зах
спазм,* s p a0 z m,спа0зм
спазмы,* s p a0 z m / y4,спа0змы
спал,* s p + a0 + l,спа0л
спали,* s p + a0 + l' / i4,спа0ли
спасали,~ s * p a1 s + a0 + l' / i4,спаса0ли
спасался,~ s * p a1 s + a0 + l ^ s' a4,спаса0лся
спасет,~ s * p a1 s' / o0 d,спасе0т
спасибо,* s p a1 s' i0 b a4,спаси0бо
спасительный,~ s * p a1 s' + i0 + t' i4 l' + n / y4 -,спаси0тельный
спать,* - p + a0 / t',спа0ть
спектакль,* s p' i1 k t a0 k l',спекта0кль
спертый,~ s * p' o0 r + t / y4 -,спе0ртый
специалиста,* - p' i1 c y1 a1 l' + i0 s t / a4,специали0ста
специально,* s p' i1 c y1 a0 l' + n + a4,специа0льно
специального,* s p' i1 c a0 - l' + n / a4 v a4,специ0ального
спешил,* s p' i1 sh + y0 + l,спеши0л
спинке,* s p' i0 n + k' / i4,спи0нке
спиной,* s p' i1 n / o0 -,спино0й
спиреи,* s p' i1 r' e0 / i4,спире0и
спит,* s p' / i0 d,спи0т
сплетня,~ s * p l' e0 t + n' / a4,спле0тня
спокойна,~ s * p a1 k o0 j + n / a4,споко0йна
спокойная,~ s * p a1 k o0 j + n / a4 j a4,споко0йная
спокойнее,~ s * p a1 k o0 i4 + n' + i4 j i4,споко0йнее
спокойно,~ s * p a1 k o0 + j + n + a4,споко0йно
спокойное,~ s * p a1 k o0 + j + n / a4 j i4,споко0йное
спокойствие,~ s * p a1 k o0 + j + s t v' + i4 j / i4,споко0йствие
споривших,* s p o0 r' + i4 + f sh / y4 h,спо0ривших
спорить,* s p o0 r' + i4 / t',спо0рить
спорта,* s p o0 r t / a4,спо0рта
спортивная,* s p a1 r t' + i0 v + n / a4 j a4,спорти0вная
спортивного,* s p a1 r t' + i0 v + n / - - -,спорти0вного
спортивной,* s p a1 r t' + i0 v + n / a4 j,спорти0вной
спортивном,* s p a1 r t' + i0 v + n / a4 m,спорти0вном
спортивный,* s p a1 r t' + i0 v + n / y4 j,спорти0вный
спортивных,* s p a1 r t' + i0 v + n / y4 h,спорти0вных
спортом,* s p o0 r t / a4 m,спо0ртом
спортсмен,* s p a1 r c m' e0 n,спортсме0н
спортсменка,* s p a1 r c m' e0 n + k / a4,спортсме0нка
спорю,* s p o0 r' / u4,спо0рю
способен,* s p a1 s o0 b' + i4 n,спосо0бен
способностей,* s p a1 s o0 b + n + a4 s' t' / e4 i4,спосо0бностей
способны,* s p a1 s o0 b + n / y4,спосо0бны
способный,* s p a1 s o0 b + n / y4 -,спосо0бный
спотыкаясь,~ s ~ p a2 * t y1 k + a0 + j i4 ^ s',спотыка0ясь
спохватился,~ s ~ p a2 * h v a1 t' + i0 + l ^ s' a4,спохвати0лся
справа,~ s * p r a0 v / a4,спра0ва
справится,~ s * p r a0 v' / i4 c ^ - a4,спра0вится
спрашивает,~ s * p r a0 sh + y4 v a4 / - i4 t,спра0шивает
спрашиваете,~ s * p r a0 sh + y4 v a4 j / i4 t' i4,спра0шиваете
спрашивал,~ s * p r a0 sh + - v a4 + l,спра0шивал
спрашивала,~ s * p r a0 sh + y4 v a4 + l / a4,спра0шивала
спрашивали,~ s * p r a0 sh + y4 v a4 + l' / i4,спра0шивали
спрашивать,~ s * p r a0 sh + y4 v a4 / t',спра0шивать
спрашивают,~ s * p r a0 sh + y4 v a4 / j u4 c,спра0шивают
спрашивая,~ s * p r a0 sh + y4 v - j + -,спра0шивая
спроса,~ s * p r o0 s / a4,спро0са
спросил,~ s * p r a1 s' + i0 + l,спроси0л
спросила,~ s * p r a1 s' + i0 + l / a4,спроси0ла
спросит,~ s * p r o0 s' / i4 t,спро0сит
спросить,~ s * p r a1 s' + i0 / d',спроси0ть
спрятал,~ s * p r' a0 t + a4 + l,спря0тал
спускайся,~ - * p u1 s k / a0 j ^ s' i4,спуска0йся
спускаюсь,~ s * p u1 s k + a0 / j u4 ^ s',спуска0юсь
спустилась,~ s * p u1 s' t' + i0 + l / a4 ^ z',спусти0лась
спустились,~ s * p u1 s' t' + i0 + l' / i4 ^ s',спусти0лись
спустился,~ s * p u1 s t' + i0 + l ^ s' a4,спусти0лся
спутать,~ s * p u0 t + a4 / d',спу0тать
спят,* s p' / a0 t,спя0т
спящего,* s p' + a0 sc / i4 v a4,спя0щего
сравнении,~ s * r a1 v n' + e0 n' i4 / i4,сравне0нии
сравнивал,~ s * r a0 v n' + i4 v a4 + l,сра0внивал
сравнивать,~ s * r a0 v + n' + i4 v a4 / t',сра0внивать
сражения,~ s * r a1 zh + e0 n' i4 j / a4,сраже0ния
сразу,~ - * r a0 z + u4,сра0зу
среднего,* s r' e0 d + n' / i4 v a4,сре0днего
средней,* s r' e0 d + n' / i4 j,сре0дней
средство,* s r' e0 + c t v / a4,сре0дство
срок,* s r o0 k,сро0к
срока,* s r o0 k / a4,сро0ка
сроки,* s r o0 k' / i4,сро0ки
срочно,* s r o0 ch + n + a4,сро0чно
срочную,* s r o0 ch + n / u4 j u4,сро0чную
ссора,* s o0 r / a4,ссо0ра
ссорах,* s o0 r / a4 h,ссо0рах
ссоре,* s o0 r' / i4,ссо0ре
ссорился,* s - o0 r' + i4 + l ^ s' a4,ссо0рился
ссоры,* s o0 r / y4,ссо0ры
ссутулилась,* s u1 t u0 l' + i4 + l / a4 ^ s',ссуту0лилась
ссылался,* s y1 l + a0 + l ^ s' a4,ссыла0лся
ссылаться,* s y1 l + a0 ^ c a4,ссыла0ться
ставил,* s t a0 v' + i4 + l,ста0вил
ставит,* s t a0 v' / i4 d,ста0вит
ставьте,* s t a0 f' / t' i4,ста0вьте
стадион,* s t a2 d' i1 o0 n,стадио0н
стадионе,* s t a2 d' i1 o0 n' / i4,стадио0не
стал,* s t a0 + l,ста0л
стала,* s t a0 + l / a4,ста0ла
стали,* s t a0 + l' / i4,ста0ли
стало,* s t a0 + l / a4,ста0ло
станет,* s t a0 n' / i4 t,ста0нет
станете,* s t a0 + n' / i4 t' i4,ста0нете
становились,* s t a2 + n + a1 v' + i0 + l' / i4 ^ s',станови0лись
становилось,* s t a2 + n + a1 v' + i0 + l / a4 ^ s',станови0лось
становился,* s t a2 + n + a1 v' + i0 + l ^ s' a4,станови0лся
становится,* s t a1 n + o0 v' / i4 ^ c a4,стано0вится
становятся,* s t a1 n + o0 v' / a4 ^ c a4,стано0вятся
стану,* s t a0 + n / u4,ста0ну
станции,* s t a0 n c y4 / i4,ста0нции
станцию,* a0 n c y4 j + u4 z / a2,ста0нцию
стар,* s t a0 r,ста0р
старается,* s t a1 r a0 / - i4 c ^ - a4,стара0ется
старалась,* s t a1 r a0 + l + a4 ^ s',стара0лась
старался,* s t a1 r a0 + l ^ s' a4,стара0лся
стараться,* s t a1 r a0 / c ^ - a4,стара0ться
стараюсь,* s t a1 r + a0 / j u4 ^ s',стара0юсь
стараясь,* s t a1 r a0 + - i4 ^ s',стара0ясь
старей,* s t a0 r' + i4 + j,ста0рей
стареть,* s t a1 r' + e0 / t',старе0ть
старик,* s t a1 r' + i0 g,стари0к
стариков,* s t a2 r' + i1 k / o0 f,старико0в
стариковским,* s t a2 r' + i1 k + o0 f + s k' / i4 m,старико0вским
старичком,* s t a2 r' + i1 ch + k / o0 m,старичко0м
старичок,* s t a2 r' + i1 ch + o0 g,старичо0к
старое,* s t a0 r / a4 j i4,ста0рое
старом,* s t a0 r / a4 m,ста0ром
старух,* s t a1 r / u0 h,стару0х
старуха,* s t a1 r + u0 h / a4,стару0ха
старухи,* s t a1 r + u0 h' / i4,стару0хи
старушка,* s t a1 r + u0 sh + k / a4,стару0шка
старческие,* s t a0 r ch + i4 s k' / i4 - i4,ста0рческие
старше,* s t a0 r + sh y4,ста0рше
старший,* s t a0 r + sh / y4 j,ста0рший
старшим,* s t a0 r + sh / y4 m,ста0ршим
старые,* s t a0 r / y4 j i4,ста0рые
старый,* s t a0 r / y4 j,ста0рый
старым,* - t a0 r / y4 m,ста0рым
старых,* s t a0 r / y4 h,ста0рых
стати,* s t a0 t' / i4,ста0ти
стать,* s t a0 / d',ста0ть
стеклам,* s t' o0 k l / a4 m,сте0клам
стеклом,* - t' i1 k l / o0 m,стекло0м
стеклянной,* s t' i1 k l' + a0 n / a4 j,стекля0нной
стелил,* s t' i1 l' + i0 + l,стели0л
стелила,* s t' i1 l' + i0 + l / a4,стели0ла
стенами,* s t' e0 n / a4 m' i4,сте0нами
стенкою,* s t' e0 n + k / a4 j u4,сте0нкою
стенку,* s t' e0 n + k / u4,сте0нку
стену,* s t' e0 n / u4,сте0ну
стены,* s t' e0 n / y4,сте0ны
стесняйся,~ s * t' i1 s' n' + a0 + j ^ s' a4,стесня0йся
стеснялась,~ s * t' i1 s' n' + a0 + l / a4 ^ s',стесня0лась
стеснялся,~ s * t' i1 s' n' + a0 + l ^ s' a4,стесня0лся
стесняются,~ s * t' i1 s' n' + a0 / j u4 ^ c a4,стесня0ются
стимул,* s t' i0 m u4 l,сти0мул
стирает,~ s * t' i1 r + a0 / j i4 d,стира0ет
стирка,~ s * t' i0 r + k / a4,сти0рка
стискивали,~ s * t' i0 s k' + i4 v a4 + l' / i4,сти0скивали
стиснула,~ s * t' i0 s + n u4 + l / a4,сти0снула
стихов,* s t' i1 h / o0 f,стихо0в
стихотворения,* s t' i1 h = a2 * t v a1 r' + e0 n' i4 j / a4,стихотворе0ния
стоило,* s t o0 + i4 + l / a4,сто0ило
стоит,* s t a1 / i0 d,стои0т
стол,* s t o0 l,сто0л
столб,* s t o0 l p,сто0лб
столешниковом,* s t a1 l' + e0 sh + n' i4 k + a4 v / a4 m,столе0шниковом
столик,* s t o0 l' + i4 k,сто0лик
столиком,* s t o0 l' + i0 k / a4 m,сто0ликом
столовой,* s t a1 l + o0 v / a4 j,столо0вой
столовую,* s t a1 l + o0 v / u4 j u4,столо0вую
столом,* c t a1 l / o0 m,столо0м
стольких,* s t o0 l' + k' / i4 h,сто0льких
столько,* s t o0 l' k + a4,сто0лько
стопку,* s t o0 p + k / u4,сто0пку
сторожей,* s t a2 r a1 zh / e0 j,стороже0й
сторон,* s t a1 r o0 n,сторо0н
сторонам,* s t a2 r a1 n / a0 m,сторона0м
сторону,* s t o0 r a4 n / u4,сто0рону
стороны,* s t o0 r a4 n / y4,сто0роны
стоя,* s t o0 j + a4,сто0я
стоявшего,* s t a1 j + a0 + f sh / e4 v a4,стоя0вшего
стоявшие,* s t a1 j + a0 + f sh / y4 - i4,стоя0вшие
стоявшими,* s t a1 j + a0 + f sh / y4 m' i4,стоя0вшими
стоявшую,* s t a1 j + a0 + f sh / u4 j u4,стоя0вшую
стоял,* s t a1 j + a0 + l,стоя0л
стояла,* s t a1 j + a0 + l / a4,стоя0ла
стояли,* s t a1 j + a0 + l' / i4,стоя0ли
стоят,* s t a1 / j a0 t,стоя0т
стоять,* s t a1 j + a0 / d',стоя0ть
стоящее,* s t a1 + j a0 sc / i4 j i4,стоя0щее
страдает,* s t r a1 d + a0 / j i4 t,страда0ет
страдал,* s t r a1 d + a0 + l,страда0л
страдала,* s t r a1 d + a0 + l / a4,страда0ла
страдание,* s t r a1 d + a0 + n' i4 j / a4,страда0ние
страдания,* s t r a1 d + a0 + n' i4 j / a4,страда0ния
страдать,* s t r a1 d + a0 / t',страда0ть
странная,* s t r a0 + n / a4 j a4,стра0нная
странно,* s t r a0 n + - + a4,стра0нно
странное,* s t r a0 + n / a4 j i4,стра0нное
странной,* s t r a0 + n / a4 j,стра0нной
странную,* s t r a0 n + - / u4 j u4,стра0нную
странные,* s t r a0 + n / y4 j i4,стра0нные
странный,* s t r a0 n + - / y4 j,стра0нный
странным,* s t r a0 + n / y4 m,стра0нным
страстная,* s t r a0 s + n / a4 j a4,стра0стная
страстно,* s t r a0 s + n / a4,стра0стно
страстном,* s t r a0 s + n / a4 m,стра0стном
страстным,* s t r a0 s + n / y4 m,стра0стным
страхе,* s t r a0 h' + i4,стра0хе
страшнее,* s t r a1 sh + n' + e0 j i4,страшне0е
страшно,* s t r a0 sh + n + a4,стра0шно
страшного,* s t r a0 sh + n / a4 v a4,стра0шного
страшное,* s t r a0 sh + n / a4 j i4,стра0шное
страшной,* s t r a0 sh + n / a4 j,стра0шной
стремится,* s t r' i1 m' / i0 ^ c a4,стреми0тся
стремиться,* s t r' i1 m' + i0 ^ c a4,стреми0ться
строгая,* s t r o0 g / a4 j a4,стро0гая
строгие,* s t r o0 g' / i4 j i4,стро0гие
строго,* s t r o0 g + a4,стро0го
строгое,* s t r o0 g / a4 j i4,стро0гое
строгому,* s t r o0 g / a4 m u4,стро0гому
строгостью,* s t r o0 g + a4 s' t' / j u4,стро0гостью
строил,* s t r o0 + i4 + l,стро0ил
строился,* s t r o0 + i4 + l ^ s' a4,стро0ился
строительстве,* s t r a1 + i0 + t' i4 l' + s t v' / i4,строи0тельстве
стройках,* s t r o0 + j + k / a4 h,стро0йках
строят,* s t r o0 + j / i4 t,стро0ят
струей,* s t r u1 j / o0 j,струе0й
студентом,* s t u1 d' e0 n t / a4 m,студе0нтом
студенческих,* s t u1 d' e0 n' ch + i4 s k' / i4 h,студе0нческих
стук,* s t u0 g,сту0к
стукнул,* s t u0 k + n u4 + l,сту0кнул
стуком,* s t u0 k / a4 m,сту0ком
стул,* s t u0 l,сту0л
стула,* s t u0 l / a4,сту0ла
стуле,* s t u0 - / l,сту0ле
ступеньке,* s t u1 p' + e0 n' + k' / i4,ступе0ньке
ступеням,* s t u1 p' + e0 n' / a4 m,ступе0ням
стучал,* s t u1 ch + a0 + l,стуча0л
стучала,* s t u1 ch + a0 + l / a4,стуча0ла
стучит,* s t u1 ch / i0 t,стучи0т
стыдно,* s t y0 d + n + a4,сты0дно
стыдящиеся,* s t y1 d' + a0 sc / i4 j i4 ^ s' a4,стыдя0щиеся
стычек,~ s * t y0 ch + i4 k,сты0чек
стянул,~ s * t' i1 + n u0 + l,стяну0л
сугробам,* s u1 g r o0 b / a4 m,сугро0бам
сугробы,* s u1 g r o0 b / y4,сугро0бы
суд,* s u0 t,су0д
суеверие,* s u1 i1 * v' e0 r' + i4 i4 / o0,суеве0рие
сукном,* s u1 k n / o0 m,сукно0м
сумасшедшая,~ s * u1 m = a1 * sh e0 + ch + sh / a4 j a4,сумасше0дшая
сумасшедший,~ s * u1 m = a1 * sh e0 + ch + sh / y4 j,сумасше0дший
сумасшествием,~ s * u1 m = a1 * sh e0 + s t v' + i4 / - i4 m,сумасше0ствием
суматохе,* s u1 m a1 t o0 h' / e4,сумато0хе
сумбурной,* s u1 m b u0 r + n / a4 j,сумбу0рной
сумеешь,~ s * u1 m' + e0 / j i4 sh,суме0ешь
сумела,~ s * u1 m' + e0 + l / a4,суме0ла
сумею,~ s * u1 m' + e0 / j u4,суме0ю
сумками,* s u0 m + k / a4 m' i4,су0мками
сумки,* s u0 m + k' / i4,су0мки
сумку,* s u0 m + k / u4,су0мку
сумочками,* s u0 m + a4 ch k / a4 m' i4,су0мочками
супругу,* s u1 p r u0 g / u4,супру0гу
супружеской,* s u1 p r u0 zh + a4 s k / a4 j,супру0жеской
сутки,* s u0 t k' / i4,су0тки
сутулься,* s u1 t u0 l' ^ s' a4,суту0лься
сухими,* s u1 h' / i0 m' i4,сухи0ми
сухо,* s u0 h + -,су0хо
сушит,* s u0 sh / y4 d,су0шит
существенно,* s u1 sc + e0 s t v' + i4 n + a4,суще0ственно
существовал,* s u1 sc + i1 s t v + a1 v + a0 / l,существова0л
существовать,* s u1 sc + i1 s t v + a1 v + a0 / d',существова0ть
существует,* s u1 sc + i1 s t v + u0 / j i4 d,существу0ет
существующими,* s u1 sc + i1 s t v + u0 + j u4 sc / i4 m' i4,существу0ющими
схватил,~ s * h v a1 t' + i0 + l,схвати0л
схватился,~ s * h v a1 t' + i0 + l ^ s' a4,схвати0лся
сходилась,~ s * h a1 d' + i0 + l / a4 ^ s',сходи0лась
сцену,* s c e0 n / u4,сце0ну
сцены,* c - e0 n / y4,сце0ны
счастию,* sc a0 s' t' + i4 j / u4,сча0стию
счастлив,* sc a0 s + l' i4 f,сча0стлив
счастливой,* sc i1 s + l' i0 v / a4 j,счастли0вой
счастье,* sc a0 s' t' j / i4,сча0стье
счастья,* sc a0 s' t' j / a4,сча0стья
счет,* sc o0 d,сче0т
считавшая,* sc i1 t + a0 + f sh / a4 j a4,счита0вшая
считает,* sc i1 t + a0 / - i4 t,счита0ет
считается,* sc i1 t + a0 / - i4 ^ c a4,счита0ется
считаешь,* sc i1 t + a0 / j i4 sh,счита0ешь
считайся,* sc i1 t + a0 + j ^ s' a4,счита0йся
